radian measurement is represented as rad
	rad 	|	cos	|	sin	|	tan
	8940	|	0.5	|	-0.866	|	-1.733
	8955	|	0.707	|	-0.707	|	-1.0
	8970	|	0.866	|	-0.5	|	-0.578
	8985	|	0.966	|	-0.259	|	-0.268
	9000	|	1.0	|	0.0	|	0.0
	9015	|	0.966	|	0.259	|	0.268
	9030	|	0.866	|	0.5	|	0.577
	9045	|	0.707	|	0.707	|	1.0
	9060	|	0.5	|	0.866	|	1.732
	9075	|	0.259	|	0.966	|	3.73
	9090	|	0.0	|	1.0	|	 UN 
	9105	|	-0.259	|	0.966	|	-3.734
	9120	|	-0.5	|	0.866	|	-1.733
	9135	|	-0.707	|	0.707	|	-1.0
	9150	|	-0.866	|	0.5	|	-0.578
	9165	|	-0.966	|	0.259	|	-0.268
	9180	|	-1.0	|	0.0	|	0.0
	9195	|	-0.966	|	-0.259	|	0.268
	9210	|	-0.866	|	-0.5	|	0.577
	9225	|	-0.707	|	-0.707	|	1.0
	9240	|	-0.5	|	-0.866	|	1.732
	9255	|	-0.259	|	-0.966	|	3.73
	9270	|	0.0	|	-1.0	|	 UN 
	9285	|	0.259	|	-0.966	|	-3.734
	9300	|	0.5	|	-0.866	|	-1.733
	9315	|	0.707	|	-0.707	|	-1.0
	9330	|	0.866	|	-0.5	|	-0.578
	9345	|	0.966	|	-0.259	|	-0.268
	9360	|	1.0	|	0.0	|	0.0
	9375	|	0.966	|	0.259	|	0.268
	9390	|	0.866	|	0.5	|	0.577
	9405	|	0.707	|	0.707	|	1.0
	9420	|	0.5	|	0.866	|	1.731
	9435	|	0.259	|	0.966	|	3.73
	9450	|	0.0	|	1.0	|	 UN 
	9465	|	-0.259	|	0.966	|	-3.734
	9480	|	-0.5	|	0.866	|	-1.733
	9495	|	-0.707	|	0.707	|	-1.0
	9510	|	-0.866	|	0.5	|	-0.578
	9525	|	-0.966	|	0.259	|	-0.268
	9540	|	-1.0	|	0.0	|	0.0
	9555	|	-0.966	|	-0.259	|	0.268
	9570	|	-0.866	|	-0.5	|	0.577
	9585	|	-0.707	|	-0.707	|	1.0
	9600	|	-0.5	|	-0.866	|	1.731
	9615	|	-0.259	|	-0.966	|	3.73
	9630	|	0.0	|	-1.0	|	 UN 
	9645	|	0.259	|	-0.966	|	-3.734
	9660	|	0.5	|	-0.866	|	-1.733
	9675	|	0.707	|	-0.707	|	-1.0
	9690	|	0.866	|	-0.5	|	-0.578
	9705	|	0.966	|	-0.259	|	-0.268
	9720	|	1.0	|	0.0	|	0.0
	9735	|	0.966	|	0.259	|	0.268
	9750	|	0.866	|	0.5	|	0.577
	9765	|	0.707	|	0.707	|	1.0
	9780	|	0.5	|	0.866	|	1.731
	9795	|	0.259	|	0.966	|	3.73
	9810	|	0.0	|	1.0	|	 UN 
	9825	|	-0.259	|	0.966	|	-3.734
	9840	|	-0.5	|	0.866	|	-1.733
	9855	|	-0.707	|	0.707	|	-1.0
	9870	|	-0.866	|	0.5	|	-0.578
	9885	|	-0.966	|	0.259	|	-0.268
	9900	|	-1.0	|	0.0	|	0.0
	9915	|	-0.966	|	-0.259	|	0.268
	9930	|	-0.866	|	-0.5	|	0.577
	9945	|	-0.707	|	-0.707	|	1.0
	9960	|	-0.5	|	-0.866	|	1.731
	9975	|	-0.259	|	-0.966	|	3.73
	9990	|	0.0	|	-1.0	|	 UN 
	10005	|	0.259	|	-0.966	|	-3.734
	10020	|	0.5	|	-0.866	|	-1.733
	10035	|	0.707	|	-0.707	|	-1.0
	10050	|	0.866	|	-0.5	|	-0.578
	10065	|	0.966	|	-0.259	|	-0.268
	10080	|	1.0	|	0.0	|	0.0
	10095	|	0.966	|	0.259	|	0.268
	10110	|	0.866	|	0.5	|	0.577
	10125	|	0.707	|	0.707	|	1.0
	10140	|	0.5	|	0.866	|	1.731
	10155	|	0.259	|	0.966	|	3.73
	10170	|	0.0	|	1.0	|	 UN 
	10185	|	-0.259	|	0.966	|	-3.734
	10200	|	-0.5	|	0.866	|	-1.733
	10215	|	-0.707	|	0.707	|	-1.0
	10230	|	-0.866	|	0.5	|	-0.578
	10245	|	-0.966	|	0.259	|	-0.268
	10260	|	-1.0	|	0.0	|	0.0
	10275	|	-0.966	|	-0.259	|	0.268
	10290	|	-0.866	|	-0.5	|	0.577
	10305	|	-0.707	|	-0.707	|	1.0
	10320	|	-0.5	|	-0.866	|	1.731
	10335	|	-0.259	|	-0.966	|	3.73
	10350	|	0.0	|	-1.0	|	 UN 
	10365	|	0.259	|	-0.966	|	-3.734
	10380	|	0.5	|	-0.866	|	-1.733
	10395	|	0.707	|	-0.707	|	-1.0
	10410	|	0.866	|	-0.5	|	-0.578
	10425	|	0.966	|	-0.259	|	-0.268
	10440	|	1.0	|	0.0	|	0.0
	10455	|	0.966	|	0.259	|	0.268
	10470	|	0.866	|	0.5	|	0.577
	10485	|	0.707	|	0.707	|	1.0
	10500	|	0.5	|	0.866	|	1.731
	10515	|	0.259	|	0.966	|	3.73
	10530	|	0.0	|	1.0	|	 UN 
	10545	|	-0.259	|	0.966	|	-3.734
	10560	|	-0.5	|	0.866	|	-1.733
	10575	|	-0.707	|	0.707	|	-1.0
	10590	|	-0.866	|	0.5	|	-0.578
	10605	|	-0.966	|	0.259	|	-0.268
	10620	|	-1.0	|	0.0	|	0.0
	10635	|	-0.966	|	-0.259	|	0.268
	10650	|	-0.866	|	-0.5	|	0.577
	10665	|	-0.707	|	-0.707	|	1.0
	10680	|	-0.5	|	-0.866	|	1.731
	10695	|	-0.259	|	-0.966	|	3.73
	10710	|	0.0	|	-1.0	|	 UN 
	10725	|	0.259	|	-0.966	|	-3.734
	10740	|	0.5	|	-0.866	|	-1.733
	10755	|	0.707	|	-0.707	|	-1.0
	10770	|	0.866	|	-0.5	|	-0.578
	10785	|	0.966	|	-0.259	|	-0.268
	10800	|	1.0	|	0.0	|	0.0
	10815	|	0.966	|	0.259	|	0.268
	10830	|	0.866	|	0.5	|	0.577
	10845	|	0.707	|	0.707	|	1.0
	10860	|	0.5	|	0.866	|	1.731
	10875	|	0.259	|	0.966	|	3.73
	10890	|	0.0	|	1.0	|	 UN 
	10905	|	-0.259	|	0.966	|	-3.734
	10920	|	-0.5	|	0.866	|	-1.733
	10935	|	-0.707	|	0.707	|	-1.0
	10950	|	-0.866	|	0.5	|	-0.578
	10965	|	-0.966	|	0.259	|	-0.268
	10980	|	-1.0	|	0.0	|	0.0
	10995	|	-0.966	|	-0.259	|	0.268
	11010	|	-0.866	|	-0.5	|	0.577
	11025	|	-0.707	|	-0.707	|	1.0
	11040	|	-0.5	|	-0.866	|	1.731
	11055	|	-0.259	|	-0.966	|	3.73
	11070	|	0.0	|	-1.0	|	 UN 
	11085	|	0.259	|	-0.966	|	-3.734
	11100	|	0.5	|	-0.866	|	-1.733
	11115	|	0.707	|	-0.707	|	-1.0
	11130	|	0.866	|	-0.5	|	-0.578
	11145	|	0.966	|	-0.259	|	-0.268
	11160	|	1.0	|	0.0	|	0.0
	11175	|	0.966	|	0.259	|	0.268
	11190	|	0.866	|	0.5	|	0.577
	11205	|	0.707	|	0.707	|	1.0
	11220	|	0.5	|	0.866	|	1.731
	11235	|	0.259	|	0.966	|	3.73
	11250	|	0.0	|	1.0	|	 UN 
	11265	|	-0.259	|	0.966	|	-3.735
	11280	|	-0.5	|	0.866	|	-1.733
	11295	|	-0.707	|	0.707	|	-1.0
	11310	|	-0.866	|	0.5	|	-0.578
	11325	|	-0.966	|	0.259	|	-0.268
	11340	|	-1.0	|	0.0	|	0.0
	11355	|	-0.966	|	-0.259	|	0.268
	11370	|	-0.866	|	-0.5	|	0.577
	11385	|	-0.707	|	-0.707	|	1.0
	11400	|	-0.5	|	-0.866	|	1.731
	11415	|	-0.259	|	-0.966	|	3.73
	11430	|	0.0	|	-1.0	|	 UN 
	11445	|	0.259	|	-0.966	|	-3.735
	11460	|	0.5	|	-0.866	|	-1.733
	11475	|	0.707	|	-0.707	|	-1.0
	11490	|	0.866	|	-0.5	|	-0.578
	11505	|	0.966	|	-0.259	|	-0.268
	11520	|	1.0	|	0.0	|	0.0
	11535	|	0.966	|	0.259	|	0.268
	11550	|	0.866	|	0.5	|	0.577
	11565	|	0.707	|	0.707	|	1.0
	11580	|	0.5	|	0.866	|	1.731
	11595	|	0.259	|	0.966	|	3.73
	11610	|	0.0	|	1.0	|	 UN 
	11625	|	-0.259	|	0.966	|	-3.735
	11640	|	-0.5	|	0.866	|	-1.733
	11655	|	-0.707	|	0.707	|	-1.0
	11670	|	-0.866	|	0.5	|	-0.578
	11685	|	-0.966	|	0.259	|	-0.268
	11700	|	-1.0	|	0.0	|	0.0
	11715	|	-0.966	|	-0.259	|	0.268
	11730	|	-0.866	|	-0.5	|	0.577
	11745	|	-0.707	|	-0.707	|	1.0
	11760	|	-0.5	|	-0.866	|	1.731
	11775	|	-0.259	|	-0.966	|	3.729
	11790	|	0.0	|	-1.0	|	 UN 
	11805	|	0.259	|	-0.966	|	-3.735
	11820	|	0.5	|	-0.866	|	-1.733
	11835	|	0.707	|	-0.707	|	-1.0
	11850	|	0.866	|	-0.5	|	-0.578
	11865	|	0.966	|	-0.259	|	-0.268
	11880	|	1.0	|	0.0	|	0.0
	11895	|	0.966	|	0.259	|	0.268
	11910	|	0.866	|	0.5	|	0.577
	11925	|	0.707	|	0.707	|	1.0
	11940	|	0.5	|	0.866	|	1.731
	11955	|	0.259	|	0.966	|	3.729
	11970	|	0.0	|	1.0	|	 UN 
	11985	|	-0.259	|	0.966	|	-3.735
	12000	|	-0.5	|	0.866	|	-1.733
	12015	|	-0.707	|	0.707	|	-1.0
	12030	|	-0.866	|	0.5	|	-0.578
	12045	|	-0.966	|	0.259	|	-0.268
	12060	|	-1.0	|	0.0	|	0.0
	12075	|	-0.966	|	-0.259	|	0.268
	12090	|	-0.866	|	-0.5	|	0.577
	12105	|	-0.707	|	-0.707	|	1.0
	12120	|	-0.5	|	-0.866	|	1.731
	12135	|	-0.259	|	-0.966	|	3.729
	12150	|	0.0	|	-1.0	|	 UN 
	12165	|	0.259	|	-0.966	|	-3.735
	12180	|	0.5	|	-0.866	|	-1.733
	12195	|	0.707	|	-0.707	|	-1.0
	12210	|	0.866	|	-0.5	|	-0.578
	12225	|	0.966	|	-0.259	|	-0.268
	12240	|	1.0	|	0.0	|	0.0
	12255	|	0.966	|	0.259	|	0.268
	12270	|	0.866	|	0.5	|	0.577
	12285	|	0.707	|	0.707	|	1.0
	12300	|	0.5	|	0.866	|	1.731
	12315	|	0.259	|	0.966	|	3.729
	12330	|	0.0	|	1.0	|	 UN 
	12345	|	-0.259	|	0.966	|	-3.735
	12360	|	-0.5	|	0.866	|	-1.733
	12375	|	-0.707	|	0.707	|	-1.0
	12390	|	-0.866	|	0.5	|	-0.578
	12405	|	-0.966	|	0.259	|	-0.268
	12420	|	-1.0	|	0.0	|	0.0
	12435	|	-0.966	|	-0.259	|	0.268
	12450	|	-0.866	|	-0.5	|	0.577
	12465	|	-0.707	|	-0.707	|	1.0
	12480	|	-0.5	|	-0.866	|	1.731
	12495	|	-0.259	|	-0.966	|	3.729
	12510	|	0.0	|	-1.0	|	 UN 
	12525	|	0.259	|	-0.966	|	-3.735
	12540	|	0.5	|	-0.866	|	-1.733
	12555	|	0.707	|	-0.707	|	-1.0
	12570	|	0.866	|	-0.5	|	-0.578
	12585	|	0.966	|	-0.259	|	-0.268
	12600	|	1.0	|	0.0	|	0.0
	12615	|	0.966	|	0.259	|	0.268
	12630	|	0.866	|	0.5	|	0.577
	12645	|	0.707	|	0.707	|	1.0
	12660	|	0.5	|	0.866	|	1.731
	12675	|	0.259	|	0.966	|	3.729
	12690	|	0.0	|	1.0	|	 UN 
	12705	|	-0.259	|	0.966	|	-3.735
	12720	|	-0.5	|	0.866	|	-1.733
	12735	|	-0.707	|	0.707	|	-1.0
	12750	|	-0.866	|	0.5	|	-0.578
	12765	|	-0.966	|	0.259	|	-0.268
	12780	|	-1.0	|	0.0	|	0.0
	12795	|	-0.966	|	-0.259	|	0.268
	12810	|	-0.866	|	-0.5	|	0.577
	12825	|	-0.707	|	-0.707	|	1.0
	12840	|	-0.5	|	-0.866	|	1.731
	12855	|	-0.259	|	-0.966	|	3.729
	12870	|	0.0	|	-1.0	|	 UN 
	12885	|	0.259	|	-0.966	|	-3.735
	12900	|	0.5	|	-0.866	|	-1.733
	12915	|	0.707	|	-0.707	|	-1.0
	12930	|	0.866	|	-0.5	|	-0.578
	12945	|	0.966	|	-0.259	|	-0.268
	12960	|	1.0	|	0.0	|	0.0
	12975	|	0.966	|	0.259	|	0.268
	12990	|	0.866	|	0.5	|	0.577
	13005	|	0.707	|	0.707	|	1.0
	13020	|	0.5	|	0.866	|	1.731
	13035	|	0.259	|	0.966	|	3.729
	13050	|	0.0	|	1.0	|	 UN 
	13065	|	-0.259	|	0.966	|	-3.735
	13080	|	-0.5	|	0.866	|	-1.733
	13095	|	-0.707	|	0.707	|	-1.0
	13110	|	-0.866	|	0.5	|	-0.578
	13125	|	-0.966	|	0.259	|	-0.268
	13140	|	-1.0	|	0.0	|	0.0
	13155	|	-0.966	|	-0.259	|	0.268
	13170	|	-0.866	|	-0.5	|	0.577
	13185	|	-0.707	|	-0.707	|	1.0
	13200	|	-0.5	|	-0.866	|	1.731
	13215	|	-0.259	|	-0.966	|	3.729
	13230	|	0.0	|	-1.0	|	 UN 
	13245	|	0.259	|	-0.966	|	-3.735
	13260	|	0.5	|	-0.866	|	-1.733
	13275	|	0.707	|	-0.707	|	-1.0
	13290	|	0.866	|	-0.5	|	-0.578
	13305	|	0.966	|	-0.259	|	-0.268
	13320	|	1.0	|	0.0	|	0.0
	13335	|	0.966	|	0.259	|	0.268
	13350	|	0.866	|	0.5	|	0.577
	13365	|	0.707	|	0.707	|	1.0
	13380	|	0.5	|	0.866	|	1.731
	13395	|	0.259	|	0.966	|	3.729
	13410	|	0.0	|	1.0	|	 UN 
	13425	|	-0.259	|	0.966	|	-3.735
	13440	|	-0.5	|	0.866	|	-1.733
	13455	|	-0.707	|	0.707	|	-1.0
	13470	|	-0.866	|	0.5	|	-0.578
	13485	|	-0.966	|	0.259	|	-0.268
	13500	|	-1.0	|	0.0	|	0.0
	13515	|	-0.966	|	-0.259	|	0.268
	13530	|	-0.866	|	-0.5	|	0.577
	13545	|	-0.707	|	-0.707	|	1.0
	13560	|	-0.5	|	-0.866	|	1.731
	13575	|	-0.259	|	-0.966	|	3.729
	13590	|	0.0	|	-1.0	|	 UN 
	13605	|	0.259	|	-0.966	|	-3.735
	13620	|	0.5	|	-0.866	|	-1.733
	13635	|	0.707	|	-0.707	|	-1.0
	13650	|	0.866	|	-0.5	|	-0.578
	13665	|	0.966	|	-0.259	|	-0.268
	13680	|	1.0	|	0.0	|	0.0
	13695	|	0.966	|	0.259	|	0.268
	13710	|	0.866	|	0.5	|	0.577
	13725	|	0.707	|	0.707	|	1.0
	13740	|	0.5	|	0.866	|	1.731
	13755	|	0.259	|	0.966	|	3.729
	13770	|	0.0	|	1.0	|	 UN 
	13785	|	-0.259	|	0.966	|	-3.735
	13800	|	-0.5	|	0.866	|	-1.733
	13815	|	-0.707	|	0.707	|	-1.0
	13830	|	-0.866	|	0.5	|	-0.578
	13845	|	-0.966	|	0.259	|	-0.268
	13860	|	-1.0	|	0.0	|	0.0
	13875	|	-0.966	|	-0.259	|	0.268
	13890	|	-0.866	|	-0.5	|	0.577
	13905	|	-0.707	|	-0.707	|	1.0
	13920	|	-0.5	|	-0.866	|	1.731
	13935	|	-0.259	|	-0.966	|	3.729
	13950	|	0.0	|	-1.0	|	 UN 
	13965	|	0.259	|	-0.966	|	-3.735
	13980	|	0.5	|	-0.866	|	-1.733
	13995	|	0.707	|	-0.707	|	-1.0
	14010	|	0.866	|	-0.5	|	-0.578
	14025	|	0.966	|	-0.259	|	-0.268
	14040	|	1.0	|	0.0	|	0.0
	14055	|	0.966	|	0.259	|	0.268
	14070	|	0.866	|	0.5	|	0.577
	14085	|	0.707	|	0.707	|	1.0
	14100	|	0.5	|	0.866	|	1.731
	14115	|	0.259	|	0.966	|	3.729
	14130	|	0.0	|	1.0	|	 UN 
	14145	|	-0.259	|	0.966	|	-3.735
	14160	|	-0.5	|	0.866	|	-1.733
	14175	|	-0.707	|	0.707	|	-1.0
	14190	|	-0.866	|	0.5	|	-0.578
	14205	|	-0.966	|	0.259	|	-0.268
	14220	|	-1.0	|	0.0	|	0.0
	14235	|	-0.966	|	-0.259	|	0.268
	14250	|	-0.866	|	-0.5	|	0.577
	14265	|	-0.707	|	-0.707	|	1.0
	14280	|	-0.5	|	-0.866	|	1.731
	14295	|	-0.259	|	-0.966	|	3.729
	14310	|	0.0	|	-1.0	|	 UN 
	14325	|	0.259	|	-0.966	|	-3.735
	14340	|	0.5	|	-0.866	|	-1.733
	14355	|	0.707	|	-0.707	|	-1.0
	14370	|	0.866	|	-0.5	|	-0.578
	14385	|	0.966	|	-0.259	|	-0.268
	14400	|	1.0	|	0.0	|	0.0
	14415	|	0.966	|	0.259	|	0.268
	14430	|	0.866	|	0.5	|	0.577
	14445	|	0.707	|	0.707	|	1.0
	14460	|	0.5	|	0.866	|	1.731
	14475	|	0.259	|	0.966	|	3.729
	14490	|	0.0	|	1.0	|	 UN 
	14505	|	-0.259	|	0.966	|	-3.735
	14520	|	-0.5	|	0.866	|	-1.733
	14535	|	-0.707	|	0.707	|	-1.0
	14550	|	-0.866	|	0.5	|	-0.578
	14565	|	-0.966	|	0.259	|	-0.268
	14580	|	-1.0	|	0.0	|	0.0
	14595	|	-0.966	|	-0.259	|	0.268
	14610	|	-0.866	|	-0.5	|	0.577
	14625	|	-0.707	|	-0.707	|	1.0
	14640	|	-0.5	|	-0.866	|	1.731
	14655	|	-0.259	|	-0.966	|	3.729
	14670	|	0.0	|	-1.0	|	 UN 
	14685	|	0.259	|	-0.966	|	-3.735
	14700	|	0.5	|	-0.866	|	-1.733
	14715	|	0.707	|	-0.707	|	-1.0
	14730	|	0.866	|	-0.5	|	-0.578
	14745	|	0.966	|	-0.259	|	-0.268
	14760	|	1.0	|	0.0	|	0.0
	14775	|	0.966	|	0.259	|	0.268
	14790	|	0.866	|	0.5	|	0.577
	14805	|	0.707	|	0.707	|	1.0
	14820	|	0.5	|	0.866	|	1.731
	14835	|	0.259	|	0.966	|	3.729
	14850	|	0.0	|	1.0	|	 UN 
	14865	|	-0.259	|	0.966	|	-3.735
	14880	|	-0.5	|	0.866	|	-1.733
	14895	|	-0.707	|	0.707	|	-1.0
	14910	|	-0.866	|	0.5	|	-0.578
	14925	|	-0.966	|	0.259	|	-0.268
	14940	|	-1.0	|	0.0	|	0.0
	14955	|	-0.966	|	-0.259	|	0.268
	14970	|	-0.866	|	-0.5	|	0.577
	14985	|	-0.707	|	-0.707	|	1.0
	15000	|	-0.5	|	-0.866	|	1.731
	15015	|	-0.259	|	-0.966	|	3.729
	15030	|	0.0	|	-1.0	|	 UN 
	15045	|	0.259	|	-0.966	|	-3.735
	15060	|	0.5	|	-0.866	|	-1.733
	15075	|	0.707	|	-0.707	|	-1.0
	15090	|	0.866	|	-0.5	|	-0.578
	15105	|	0.966	|	-0.259	|	-0.268
	15120	|	1.0	|	0.0	|	0.0
	15135	|	0.966	|	0.259	|	0.268
	15150	|	0.866	|	0.5	|	0.577
	15165	|	0.707	|	0.707	|	1.0
	15180	|	0.5	|	0.866	|	1.731
	15195	|	0.259	|	0.966	|	3.729
	15210	|	0.0	|	1.0	|	 UN 
	15225	|	-0.259	|	0.966	|	-3.735
	15240	|	-0.5	|	0.866	|	-1.733
	15255	|	-0.707	|	0.707	|	-1.0
	15270	|	-0.866	|	0.5	|	-0.578
	15285	|	-0.966	|	0.259	|	-0.268
	15300	|	-1.0	|	0.0	|	0.0
	15315	|	-0.966	|	-0.259	|	0.268
	15330	|	-0.866	|	-0.5	|	0.577
	15345	|	-0.707	|	-0.707	|	1.0
	15360	|	-0.5	|	-0.866	|	1.731
	15375	|	-0.259	|	-0.966	|	3.729
	15390	|	0.0	|	-1.0	|	 UN 
	15405	|	0.259	|	-0.966	|	-3.735
	15420	|	0.5	|	-0.866	|	-1.733
	15435	|	0.707	|	-0.707	|	-1.0
	15450	|	0.866	|	-0.5	|	-0.578
	15465	|	0.966	|	-0.259	|	-0.268
	15480	|	1.0	|	0.0	|	0.0
	15495	|	0.966	|	0.259	|	0.268
	15510	|	0.866	|	0.5	|	0.577
	15525	|	0.707	|	0.707	|	1.0
	15540	|	0.5	|	0.866	|	1.731
	15555	|	0.259	|	0.966	|	3.729
	15570	|	0.0	|	1.0	|	 UN 
	15585	|	-0.259	|	0.966	|	-3.735
	15600	|	-0.5	|	0.866	|	-1.733
	15615	|	-0.707	|	0.707	|	-1.0
	15630	|	-0.866	|	0.5	|	-0.578
	15645	|	-0.966	|	0.259	|	-0.268
	15660	|	-1.0	|	0.0	|	0.0
	15675	|	-0.966	|	-0.259	|	0.268
	15690	|	-0.866	|	-0.5	|	0.577
	15705	|	-0.707	|	-0.707	|	1.0
	15720	|	-0.5	|	-0.866	|	1.731
	15735	|	-0.259	|	-0.966	|	3.729
	15750	|	0.0	|	-1.0	|	 UN 
	15765	|	0.259	|	-0.966	|	-3.736
	15780	|	0.5	|	-0.866	|	-1.733
	15795	|	0.707	|	-0.707	|	-1.0
	15810	|	0.866	|	-0.5	|	-0.578
	15825	|	0.966	|	-0.259	|	-0.268
	15840	|	1.0	|	0.0	|	0.0
	15855	|	0.966	|	0.259	|	0.268
	15870	|	0.866	|	0.5	|	0.577
	15885	|	0.707	|	0.707	|	1.0
	15900	|	0.5	|	0.866	|	1.731
	15915	|	0.259	|	0.966	|	3.729
	15930	|	0.0	|	1.0	|	 UN 
	15945	|	-0.259	|	0.966	|	-3.736
	15960	|	-0.5	|	0.866	|	-1.733
	15975	|	-0.707	|	0.707	|	-1.0
	15990	|	-0.866	|	0.5	|	-0.578
	16005	|	-0.966	|	0.259	|	-0.268
	16020	|	-1.0	|	0.0	|	0.0
	16035	|	-0.966	|	-0.259	|	0.268
	16050	|	-0.866	|	-0.5	|	0.577
	16065	|	-0.707	|	-0.707	|	1.0
	16080	|	-0.5	|	-0.866	|	1.731
	16095	|	-0.259	|	-0.966	|	3.729
	16110	|	0.0	|	-1.0	|	 UN 
	16125	|	0.259	|	-0.966	|	-3.736
	16140	|	0.5	|	-0.866	|	-1.733
	16155	|	0.707	|	-0.707	|	-1.0
	16170	|	0.866	|	-0.5	|	-0.578
	16185	|	0.966	|	-0.259	|	-0.268
	16200	|	1.0	|	0.0	|	0.0
	16215	|	0.966	|	0.259	|	0.268
	16230	|	0.866	|	0.5	|	0.577
	16245	|	0.707	|	0.707	|	1.0
	16260	|	0.5	|	0.866	|	1.731
	16275	|	0.259	|	0.966	|	3.728
	16290	|	0.0	|	1.0	|	 UN 
	16305	|	-0.259	|	0.966	|	-3.736
	16320	|	-0.5	|	0.866	|	-1.733
	16335	|	-0.707	|	0.707	|	-1.0
	16350	|	-0.866	|	0.5	|	-0.578
	16365	|	-0.966	|	0.259	|	-0.268
	16380	|	-1.0	|	0.0	|	0.0
	16395	|	-0.966	|	-0.259	|	0.268
	16410	|	-0.866	|	-0.5	|	0.577
	16425	|	-0.707	|	-0.707	|	1.0
	16440	|	-0.5	|	-0.866	|	1.731
	16455	|	-0.259	|	-0.966	|	3.728
	16470	|	0.0	|	-1.0	|	 UN 
	16485	|	0.259	|	-0.966	|	-3.736
	16500	|	0.5	|	-0.866	|	-1.733
	16515	|	0.707	|	-0.707	|	-1.0
	16530	|	0.866	|	-0.5	|	-0.578
	16545	|	0.966	|	-0.259	|	-0.268
	16560	|	1.0	|	0.0	|	0.0
	16575	|	0.966	|	0.259	|	0.268
	16590	|	0.866	|	0.5	|	0.577
	16605	|	0.707	|	0.707	|	1.0
	16620	|	0.5	|	0.866	|	1.731
	16635	|	0.259	|	0.966	|	3.728
	16650	|	0.0	|	1.0	|	 UN 
	16665	|	-0.259	|	0.966	|	-3.736
	16680	|	-0.5	|	0.866	|	-1.733
	16695	|	-0.707	|	0.707	|	-1.0
	16710	|	-0.866	|	0.5	|	-0.578
	16725	|	-0.966	|	0.259	|	-0.268
	16740	|	-1.0	|	0.0	|	0.0
	16755	|	-0.966	|	-0.259	|	0.268
	16770	|	-0.866	|	-0.5	|	0.577
	16785	|	-0.707	|	-0.707	|	1.0
	16800	|	-0.5	|	-0.866	|	1.731
	16815	|	-0.259	|	-0.966	|	3.728
	16830	|	0.0	|	-1.0	|	 UN 
	16845	|	0.259	|	-0.966	|	-3.736
	16860	|	0.5	|	-0.866	|	-1.733
	16875	|	0.707	|	-0.707	|	-1.0
	16890	|	0.866	|	-0.5	|	-0.578
	16905	|	0.966	|	-0.259	|	-0.268
	16920	|	1.0	|	0.0	|	0.0
	16935	|	0.966	|	0.259	|	0.268
	16950	|	0.866	|	0.5	|	0.577
	16965	|	0.707	|	0.707	|	0.999
	16980	|	0.5	|	0.866	|	1.731
	16995	|	0.259	|	0.966	|	3.728
	17010	|	0.0	|	1.0	|	 UN 
	17025	|	-0.259	|	0.966	|	-3.736
	17040	|	-0.5	|	0.866	|	-1.733
	17055	|	-0.707	|	0.707	|	-1.001
	17070	|	-0.866	|	0.5	|	-0.578
	17085	|	-0.966	|	0.259	|	-0.268
	17100	|	-1.0	|	0.0	|	0.0
	17115	|	-0.966	|	-0.259	|	0.268
	17130	|	-0.866	|	-0.5	|	0.577
	17145	|	-0.707	|	-0.707	|	0.999
	17160	|	-0.5	|	-0.866	|	1.731
	17175	|	-0.259	|	-0.966	|	3.728
	17190	|	0.0	|	-1.0	|	 UN 
	17205	|	0.259	|	-0.966	|	-3.736
	17220	|	0.5	|	-0.866	|	-1.733
	17235	|	0.707	|	-0.707	|	-1.001
	17250	|	0.866	|	-0.5	|	-0.578
	17265	|	0.966	|	-0.259	|	-0.268
	17280	|	1.0	|	0.0	|	0.0
	17295	|	0.966	|	0.259	|	0.268
	17310	|	0.866	|	0.5	|	0.577
	17325	|	0.707	|	0.707	|	0.999
	17340	|	0.5	|	0.866	|	1.731
	17355	|	0.259	|	0.966	|	3.728
	17370	|	0.0	|	1.0	|	 UN 
	17385	|	-0.259	|	0.966	|	-3.736
	17400	|	-0.5	|	0.866	|	-1.733
	17415	|	-0.707	|	0.707	|	-1.001
	17430	|	-0.866	|	0.5	|	-0.578
	17445	|	-0.966	|	0.259	|	-0.268
	17460	|	-1.0	|	0.0	|	0.0
	17475	|	-0.966	|	-0.259	|	0.268
	17490	|	-0.866	|	-0.5	|	0.577
	17505	|	-0.707	|	-0.707	|	0.999
	17520	|	-0.5	|	-0.866	|	1.731
	17535	|	-0.259	|	-0.966	|	3.728
	17550	|	0.0	|	-1.0	|	 UN 
	17565	|	0.259	|	-0.966	|	-3.736
	17580	|	0.5	|	-0.866	|	-1.733
	17595	|	0.707	|	-0.707	|	-1.001
	17610	|	0.866	|	-0.5	|	-0.578
	17625	|	0.966	|	-0.259	|	-0.268
	17640	|	1.0	|	0.0	|	0.0
	17655	|	0.966	|	0.259	|	0.268
	17670	|	0.866	|	0.5	|	0.577
	17685	|	0.707	|	0.707	|	0.999
	17700	|	0.5	|	0.866	|	1.731
	17715	|	0.259	|	0.966	|	3.728
	17730	|	0.0	|	1.0	|	 UN 
	17745	|	-0.259	|	0.966	|	-3.736
	17760	|	-0.5	|	0.866	|	-1.733
	17775	|	-0.707	|	0.707	|	-1.001
	17790	|	-0.866	|	0.5	|	-0.578
	17805	|	-0.966	|	0.259	|	-0.268
	17820	|	-1.0	|	0.0	|	0.0
	17835	|	-0.966	|	-0.259	|	0.268
	17850	|	-0.866	|	-0.5	|	0.577
	17865	|	-0.707	|	-0.707	|	0.999
