radian measurement is represented as rad
	rad 	|	cos	|	sin	|	tan
	2055	|	-0.259	|	-0.966	|	3.732
	2070	|	0.0	|	-1.0	|	 UN 
	2085	|	0.259	|	-0.966	|	-3.733
	2100	|	0.5	|	-0.866	|	-1.732
	2115	|	0.707	|	-0.707	|	-1.0
	2130	|	0.866	|	-0.5	|	-0.577
	2145	|	0.966	|	-0.259	|	-0.268
	2160	|	1.0	|	0.0	|	0.0
	2175	|	0.966	|	0.259	|	0.268
	2190	|	0.866	|	0.5	|	0.577
	2205	|	0.707	|	0.707	|	1.0
	2220	|	0.5	|	0.866	|	1.732
	2235	|	0.259	|	0.966	|	3.732
	2250	|	0.0	|	1.0	|	 UN 
	2265	|	-0.259	|	0.966	|	-3.733
	2280	|	-0.5	|	0.866	|	-1.732
	2295	|	-0.707	|	0.707	|	-1.0
	2310	|	-0.866	|	0.5	|	-0.577
	2325	|	-0.966	|	0.259	|	-0.268
	2340	|	-1.0	|	0.0	|	0.0
	2355	|	-0.966	|	-0.259	|	0.268
	2370	|	-0.866	|	-0.5	|	0.577
	2385	|	-0.707	|	-0.707	|	1.0
	2400	|	-0.5	|	-0.866	|	1.732
	2415	|	-0.259	|	-0.966	|	3.732
	2430	|	0.0	|	-1.0	|	 UN 
	2445	|	0.259	|	-0.966	|	-3.733
	2460	|	0.5	|	-0.866	|	-1.732
	2475	|	0.707	|	-0.707	|	-1.0
	2490	|	0.866	|	-0.5	|	-0.577
	2505	|	0.966	|	-0.259	|	-0.268
	2520	|	1.0	|	0.0	|	0.0
	2535	|	0.966	|	0.259	|	0.268
	2550	|	0.866	|	0.5	|	0.577
	2565	|	0.707	|	0.707	|	1.0
	2580	|	0.5	|	0.866	|	1.732
	2595	|	0.259	|	0.966	|	3.731
	2610	|	0.0	|	1.0	|	 UN 
	2625	|	-0.259	|	0.966	|	-3.733
	2640	|	-0.5	|	0.866	|	-1.732
	2655	|	-0.707	|	0.707	|	-1.0
	2670	|	-0.866	|	0.5	|	-0.577
	2685	|	-0.966	|	0.259	|	-0.268
	2700	|	-1.0	|	0.0	|	0.0
	2715	|	-0.966	|	-0.259	|	0.268
	2730	|	-0.866	|	-0.5	|	0.577
	2745	|	-0.707	|	-0.707	|	1.0
	2760	|	-0.5	|	-0.866	|	1.732
	2775	|	-0.259	|	-0.966	|	3.731
	2790	|	0.0	|	-1.0	|	 UN 
	2805	|	0.259	|	-0.966	|	-3.733
	2820	|	0.5	|	-0.866	|	-1.732
	2835	|	0.707	|	-0.707	|	-1.0
	2850	|	0.866	|	-0.5	|	-0.577
	2865	|	0.966	|	-0.259	|	-0.268
	2880	|	1.0	|	0.0	|	0.0
	2895	|	0.966	|	0.259	|	0.268
	2910	|	0.866	|	0.5	|	0.577
	2925	|	0.707	|	0.707	|	1.0
	2940	|	0.5	|	0.866	|	1.732
	2955	|	0.259	|	0.966	|	3.731
	2970	|	0.0	|	1.0	|	 UN 
	2985	|	-0.259	|	0.966	|	-3.733
	3000	|	-0.5	|	0.866	|	-1.732
	3015	|	-0.707	|	0.707	|	-1.0
	3030	|	-0.866	|	0.5	|	-0.577
	3045	|	-0.966	|	0.259	|	-0.268
	3060	|	-1.0	|	0.0	|	0.0
	3075	|	-0.966	|	-0.259	|	0.268
	3090	|	-0.866	|	-0.5	|	0.577
	3105	|	-0.707	|	-0.707	|	1.0
	3120	|	-0.5	|	-0.866	|	1.732
	3135	|	-0.259	|	-0.966	|	3.731
	3150	|	0.0	|	-1.0	|	 UN 
	3165	|	0.259	|	-0.966	|	-3.733
	3180	|	0.5	|	-0.866	|	-1.732
	3195	|	0.707	|	-0.707	|	-1.0
	3210	|	0.866	|	-0.5	|	-0.577
	3225	|	0.966	|	-0.259	|	-0.268
	3240	|	1.0	|	0.0	|	0.0
	3255	|	0.966	|	0.259	|	0.268
	3270	|	0.866	|	0.5	|	0.577
	3285	|	0.707	|	0.707	|	1.0
	3300	|	0.5	|	0.866	|	1.732
	3315	|	0.259	|	0.966	|	3.731
	3330	|	0.0	|	1.0	|	 UN 
	3345	|	-0.259	|	0.966	|	-3.733
	3360	|	-0.5	|	0.866	|	-1.732
	3375	|	-0.707	|	0.707	|	-1.0
	3390	|	-0.866	|	0.5	|	-0.577
	3405	|	-0.966	|	0.259	|	-0.268
	3420	|	-1.0	|	0.0	|	0.0
	3435	|	-0.966	|	-0.259	|	0.268
	3450	|	-0.866	|	-0.5	|	0.577
	3465	|	-0.707	|	-0.707	|	1.0
	3480	|	-0.5	|	-0.866	|	1.732
	3495	|	-0.259	|	-0.966	|	3.731
	3510	|	0.0	|	-1.0	|	 UN 
	3525	|	0.259	|	-0.966	|	-3.733
	3540	|	0.5	|	-0.866	|	-1.732
	3555	|	0.707	|	-0.707	|	-1.0
	3570	|	0.866	|	-0.5	|	-0.577
	3585	|	0.966	|	-0.259	|	-0.268
	3600	|	1.0	|	0.0	|	0.0
	3615	|	0.966	|	0.259	|	0.268
	3630	|	0.866	|	0.5	|	0.577
	3645	|	0.707	|	0.707	|	1.0
	3660	|	0.5	|	0.866	|	1.732
	3675	|	0.259	|	0.966	|	3.731
	3690	|	0.0	|	1.0	|	 UN 
	3705	|	-0.259	|	0.966	|	-3.733
	3720	|	-0.5	|	0.866	|	-1.732
	3735	|	-0.707	|	0.707	|	-1.0
	3750	|	-0.866	|	0.5	|	-0.577
	3765	|	-0.966	|	0.259	|	-0.268
	3780	|	-1.0	|	0.0	|	0.0
	3795	|	-0.966	|	-0.259	|	0.268
	3810	|	-0.866	|	-0.5	|	0.577
	3825	|	-0.707	|	-0.707	|	1.0
	3840	|	-0.5	|	-0.866	|	1.732
	3855	|	-0.259	|	-0.966	|	3.731
	3870	|	0.0	|	-1.0	|	 UN 
	3885	|	0.259	|	-0.966	|	-3.733
	3900	|	0.5	|	-0.866	|	-1.732
	3915	|	0.707	|	-0.707	|	-1.0
	3930	|	0.866	|	-0.5	|	-0.577
	3945	|	0.966	|	-0.259	|	-0.268
	3960	|	1.0	|	0.0	|	0.0
	3975	|	0.966	|	0.259	|	0.268
	3990	|	0.866	|	0.5	|	0.577
	4005	|	0.707	|	0.707	|	1.0
	4020	|	0.5	|	0.866	|	1.732
	4035	|	0.259	|	0.966	|	3.731
	4050	|	0.0	|	1.0	|	 UN 
	4065	|	-0.259	|	0.966	|	-3.733
	4080	|	-0.5	|	0.866	|	-1.732
	4095	|	-0.707	|	0.707	|	-1.0
	4110	|	-0.866	|	0.5	|	-0.577
	4125	|	-0.966	|	0.259	|	-0.268
	4140	|	-1.0	|	0.0	|	0.0
	4155	|	-0.966	|	-0.259	|	0.268
	4170	|	-0.866	|	-0.5	|	0.577
	4185	|	-0.707	|	-0.707	|	1.0
	4200	|	-0.5	|	-0.866	|	1.732
	4215	|	-0.259	|	-0.966	|	3.731
	4230	|	0.0	|	-1.0	|	 UN 
	4245	|	0.259	|	-0.966	|	-3.733
	4260	|	0.5	|	-0.866	|	-1.732
	4275	|	0.707	|	-0.707	|	-1.0
	4290	|	0.866	|	-0.5	|	-0.577
	4305	|	0.966	|	-0.259	|	-0.268
	4320	|	1.0	|	0.0	|	0.0
	4335	|	0.966	|	0.259	|	0.268
	4350	|	0.866	|	0.5	|	0.577
	4365	|	0.707	|	0.707	|	1.0
	4380	|	0.5	|	0.866	|	1.732
	4395	|	0.259	|	0.966	|	3.731
	4410	|	0.0	|	1.0	|	 UN 
	4425	|	-0.259	|	0.966	|	-3.733
	4440	|	-0.5	|	0.866	|	-1.732
	4455	|	-0.707	|	0.707	|	-1.0
	4470	|	-0.866	|	0.5	|	-0.577
	4485	|	-0.966	|	0.259	|	-0.268
	4500	|	-1.0	|	0.0	|	0.0
	4515	|	-0.966	|	-0.259	|	0.268
	4530	|	-0.866	|	-0.5	|	0.577
	4545	|	-0.707	|	-0.707	|	1.0
	4560	|	-0.5	|	-0.866	|	1.732
	4575	|	-0.259	|	-0.966	|	3.731
	4590	|	0.0	|	-1.0	|	 UN 
	4605	|	0.259	|	-0.966	|	-3.733
	4620	|	0.5	|	-0.866	|	-1.732
	4635	|	0.707	|	-0.707	|	-1.0
	4650	|	0.866	|	-0.5	|	-0.577
	4665	|	0.966	|	-0.259	|	-0.268
	4680	|	1.0	|	0.0	|	0.0
	4695	|	0.966	|	0.259	|	0.268
	4710	|	0.866	|	0.5	|	0.577
	4725	|	0.707	|	0.707	|	1.0
	4740	|	0.5	|	0.866	|	1.732
	4755	|	0.259	|	0.966	|	3.731
	4770	|	0.0	|	1.0	|	 UN 
	4785	|	-0.259	|	0.966	|	-3.733
	4800	|	-0.5	|	0.866	|	-1.732
	4815	|	-0.707	|	0.707	|	-1.0
	4830	|	-0.866	|	0.5	|	-0.577
	4845	|	-0.966	|	0.259	|	-0.268
	4860	|	-1.0	|	0.0	|	0.0
	4875	|	-0.966	|	-0.259	|	0.268
	4890	|	-0.866	|	-0.5	|	0.577
	4905	|	-0.707	|	-0.707	|	1.0
	4920	|	-0.5	|	-0.866	|	1.732
	4935	|	-0.259	|	-0.966	|	3.731
	4950	|	0.0	|	-1.0	|	 UN 
	4965	|	0.259	|	-0.966	|	-3.733
	4980	|	0.5	|	-0.866	|	-1.732
	4995	|	0.707	|	-0.707	|	-1.0
	5010	|	0.866	|	-0.5	|	-0.577
	5025	|	0.966	|	-0.259	|	-0.268
	5040	|	1.0	|	0.0	|	0.0
	5055	|	0.966	|	0.259	|	0.268
	5070	|	0.866	|	0.5	|	0.577
	5085	|	0.707	|	0.707	|	1.0
	5100	|	0.5	|	0.866	|	1.732
	5115	|	0.259	|	0.966	|	3.731
	5130	|	0.0	|	1.0	|	 UN 
	5145	|	-0.259	|	0.966	|	-3.733
	5160	|	-0.5	|	0.866	|	-1.732
	5175	|	-0.707	|	0.707	|	-1.0
	5190	|	-0.866	|	0.5	|	-0.577
	5205	|	-0.966	|	0.259	|	-0.268
	5220	|	-1.0	|	0.0	|	0.0
	5235	|	-0.966	|	-0.259	|	0.268
	5250	|	-0.866	|	-0.5	|	0.577
	5265	|	-0.707	|	-0.707	|	1.0
	5280	|	-0.5	|	-0.866	|	1.732
	5295	|	-0.259	|	-0.966	|	3.731
	5310	|	0.0	|	-1.0	|	 UN 
	5325	|	0.259	|	-0.966	|	-3.733
	5340	|	0.5	|	-0.866	|	-1.732
	5355	|	0.707	|	-0.707	|	-1.0
	5370	|	0.866	|	-0.5	|	-0.577
	5385	|	0.966	|	-0.259	|	-0.268
	5400	|	1.0	|	0.0	|	0.0
	5415	|	0.966	|	0.259	|	0.268
	5430	|	0.866	|	0.5	|	0.577
	5445	|	0.707	|	0.707	|	1.0
	5460	|	0.5	|	0.866	|	1.732
	5475	|	0.259	|	0.966	|	3.731
	5490	|	0.0	|	1.0	|	 UN 
	5505	|	-0.259	|	0.966	|	-3.733
	5520	|	-0.5	|	0.866	|	-1.732
	5535	|	-0.707	|	0.707	|	-1.0
	5550	|	-0.866	|	0.5	|	-0.577
	5565	|	-0.966	|	0.259	|	-0.268
	5580	|	-1.0	|	0.0	|	0.0
	5595	|	-0.966	|	-0.259	|	0.268
	5610	|	-0.866	|	-0.5	|	0.577
	5625	|	-0.707	|	-0.707	|	1.0
	5640	|	-0.5	|	-0.866	|	1.732
	5655	|	-0.259	|	-0.966	|	3.731
	5670	|	0.0	|	-1.0	|	 UN 
	5685	|	0.259	|	-0.966	|	-3.733
	5700	|	0.5	|	-0.866	|	-1.732
	5715	|	0.707	|	-0.707	|	-1.0
	5730	|	0.866	|	-0.5	|	-0.577
	5745	|	0.966	|	-0.259	|	-0.268
	5760	|	1.0	|	0.0	|	0.0
	5775	|	0.966	|	0.259	|	0.268
	5790	|	0.866	|	0.5	|	0.577
	5805	|	0.707	|	0.707	|	1.0
	5820	|	0.5	|	0.866	|	1.732
	5835	|	0.259	|	0.966	|	3.731
	5850	|	0.0	|	1.0	|	 UN 
	5865	|	-0.259	|	0.966	|	-3.733
	5880	|	-0.5	|	0.866	|	-1.732
	5895	|	-0.707	|	0.707	|	-1.0
	5910	|	-0.866	|	0.5	|	-0.577
	5925	|	-0.966	|	0.259	|	-0.268
	5940	|	-1.0	|	0.0	|	0.0
	5955	|	-0.966	|	-0.259	|	0.268
